UF;TOTAL_PARTICIPANTES;TREINEIROS_PROPORCAO;PRESENCA_PROPORCAO;MEDIA_NOTA
AC;26424;0.13851044504995458;0.6374508023009385;508.87669994332003
AL;88896;0.16377564794816415;0.7006614470842333;511.432736829851
AM;96898;0.11210757703977378;0.5468017915746455;492.71358122389626
AP;30650;0.1536378466557912;0.6522349102773246;502.9972170320352
BA;376845;0.17946105162600007;0.6822062121031193;514.0041533505391
CE;250607;0.21503389769639317;0.7517587298040358;527.047477896272
DF;74520;0.158870101986044;0.7006709608158883;558.5635947853127
ES;74543;0.18951477670606226;0.6956387588371812;552.0434947680952
GO;151158;0.2285224731737652;0.6779197925349634;539.0543168992135
MA;178833;0.21222593145560384;0.7051998232988319;501.81550024733343
MG;393824;0.21820914926464613;0.707155988461851;557.830800461635
MS;51311;0.2059597357291809;0.6587476369589367;529.8942551548031
MT;67782;0.20222182880410727;0.6373078398394854;523.7962923638835
PA;248061;0.20353461446982798;0.7034963174380495;501.5598246047342
PB;128546;0.20402035069158123;0.7274127549670935;527.9521037857652
PE;237615;0.22026387223028848;0.7239231529996002;525.6335827556946
PI;108113;0.24646434748827614;0.7398740207005633;517.5168530028157
PR;179954;0.1750558476054992;0.7020071796125676;546.7066351490439
RJ;289397;0.1533879065781608;0.696026565582919;550.1201453090794
RN;102215;0.17323289145428752;0.7381891111872034;534.4693416974108
RO;38609;0.20953663653552282;0.6596648449843301;513.6364228413069
RR;12695;0.15746356833398975;0.649389523434423;512.2322954553804
RS;279039;0.18710646182074908;0.5100147291238859;541.1977046119849
SC;95126;0.22954817820574816;0.6889809305552635;558.2874535916062
SE;69529;0.22745904586575386;0.748579729321578;524.4197614813457
SP;647215;0.1899693301298641;0.7175575349767851;561.5431698717623
TO;34539;0.2338805408378934;0.6686933611280003;510.8077295935283
