UF;NOTA_MEDIA
AC;508.87669994332003
AL;511.432736829851
AM;492.71358122389626
AP;502.9972170320352
BA;514.0041533505391
CE;527.047477896272
DF;558.5635947853127
ES;552.0434947680952
GO;539.0543168992135
MA;501.81550024733343
MG;557.830800461635
MS;529.8942551548031
MT;523.7962923638835
PA;501.5598246047342
PB;527.9521037857652
PE;525.6335827556946
PI;517.5168530028157
PR;546.7066351490439
RJ;550.1201453090794
RN;534.4693416974108
RO;513.6364228413069
RR;512.2322954553804
RS;541.1977046119849
SC;558.2874535916062
SE;524.4197614813457
SP;561.5431698717623
TO;510.8077295935283
