UF;TREINEIROS_PROPORCAO
AC;0.13851044504995458
AL;0.16377564794816415
AM;0.11210757703977378
AP;0.1536378466557912
BA;0.17946105162600007
CE;0.21503389769639317
DF;0.158870101986044
ES;0.18951477670606226
GO;0.2285224731737652
MA;0.21222593145560384
MG;0.21820914926464613
MS;0.2059597357291809
MT;0.20222182880410727
PA;0.20353461446982798
PB;0.20402035069158123
PE;0.22026387223028848
PI;0.24646434748827614
PR;0.1750558476054992
RJ;0.1533879065781608
RN;0.17323289145428752
RO;0.20953663653552282
RR;0.15746356833398975
RS;0.18710646182074908
SC;0.22954817820574816
SE;0.22745904586575386
SP;0.1899693301298641
TO;0.2338805408378934
